항목,문장1,문장2
작품명,안녕하세요. [내이름]님. 저는 [작품명] 입니다.,[작품명] (이)라고 합니다. 만나서 반가워요.
작가,저를 만드신 분은 [작가] 입니다.,[작가] 입니다. 
기간,전시기간은 [기간] 입니다. ,
가격,작품의 가격은 [가격] 입니다.,
메일,작가님의 메일주소는 [메일] 입니다.,
비슷한 작품,비슷한 작품은 [비슷한 작품] 입니다.,
설명1,[설명1],
설명2,[설명2],
